
=== 2023/1 (19 sections) ===
  Sec 1: ig='fantique_', tw='higuys_iamkyoka'
    raw ig URL: instagram.com/fantique\_/
  Sec 2: ig='eito.konishi', tw='Eightkns'
    raw ig URL: instagram.com/eito.konishi/
  Sec 3: ig='kagei_hina', tw='hinatter0219'
    raw ig URL: instagram.com/kagei\_hina/
  Sec 4: ig='momoikaho', tw='momoikaho'
    raw ig URL: instagram.com/momoikaho/
  Sec 5: ig='moe_nobori', tw='_mme16'
    raw ig URL: instagram.com/moe\_nobori/?hl=ja
  Sec 6: ig='biyou_kawashima', tw='biyou_kawashima'
    raw ig URL: instagram.com/biyou\_kawashima/?hl=ja
  Sec 7: ig='mi_smile25', tw=None
    raw ig URL: instagram.com/mi\_smile25/?hl=ja
  Sec 8: ig='mikanchocodayo', tw='mikanchocodayo'
    raw ig URL: instagram.com/mikanchocodayo/?hl=ja
  Sec 9: ig='saayagram0101', tw='saaya112233'
    raw ig URL: instagram.com/saayagram0101/
  Sec 10: ig=None, tw='ayanon_date'
  Sec 11: ig='bgirlcocoa', tw='bgirlcocoa'
    raw ig URL: instagram.com/bgirlcocoa/
  Sec 12: ig='happy_miyu0827', tw='Happymiyu0827'
    raw ig URL: instagram.com/happy\_miyu0827/
  Sec 13: ig='ken__0725', tw='kinoken0725'
    raw ig URL: instagram.com/ken\_\_0725/?hl=ja
  Sec 14: ig='mao.6454', tw='mao0504_'
    raw ig URL: instagram.com/mao.6454/?igshid=YmMyMTA2M2Y%3D
  Sec 15: ig='shoya___4008', tw=None
    raw ig URL: instagram.com/shoya\_\_\_4008/
  Sec 16: ig='taiki.watanabe.official', tw=None
    raw ig URL: instagram.com/taiki.watanabe.official/
  Sec 17: ig='kyon_official_', tw=None
    raw ig URL: instagram.com/kyon\_official\_?igshid=YmMyMTA2M2Y=
  Sec 18: ig='sora.kaito0520', tw='sora_kaito0520'
    raw ig URL: instagram.com/sora.kaito0520/?igshid=YmMyMTA2M2Y=
  Sec 19: ig='lindow_ozaki', tw=None
    raw ig URL: instagram.com/lindow\_ozaki/?hl=jaM2Y=

=== 2024/1 (18 sections) ===
  Sec 1: ig=None, tw=None
  Sec 2: ig=None, tw=None
  Sec 3: ig=None, tw=None
  Sec 4: ig=None, tw=None
  Sec 5: ig=None, tw=None
  Sec 6: ig=None, tw=None
  Sec 7: ig=None, tw=None
  Sec 8: ig=None, tw=None
  Sec 9: ig=None, tw=None
  Sec 10: ig=None, tw=None
  Sec 11: ig=None, tw=None
  Sec 12: ig=None, tw=None
  Sec 13: ig=None, tw=None
  Sec 14: ig=None, tw=None
  Sec 15: ig=None, tw=None
  Sec 16: ig=None, tw=None
  Sec 17: ig=None, tw=None
  Sec 18: ig=None, tw=None

=== 2024/12 (17 sections) ===
  Sec 1: ig=None, tw=None
  Sec 2: ig=None, tw=None
  Sec 3: ig=None, tw=None
  Sec 4: ig=None, tw=None
  Sec 5: ig=None, tw=None
  Sec 6: ig=None, tw=None
  Sec 7: ig=None, tw=None
  Sec 8: ig=None, tw=None
  Sec 9: ig=None, tw=None
  Sec 10: ig=None, tw=None
  Sec 11: ig=None, tw=None
  Sec 12: ig=None, tw=None
  Sec 13: ig=None, tw=None
  Sec 14: ig=None, tw=None
  Sec 15: ig=None, tw=None
  Sec 16: ig=None, tw=None
  Sec 17: ig=None, tw=None
